t,x,y,x_ref,y_ref,error
0.0,0.0,0.0,2.5,0.0,2.5
0.002,6.457349378241458e-06,-4.7544690412208225e-09,2.5,0.0,2.4999935426506217
0.004,2.1051535949503238e-05,-1.511775983356704e-08,2.5,0.0,2.4999789484640504
0.006,4.4110017138419545e-05,-3.136786832029982e-08,2.5,0.0,2.4999558899828616
0.008,7.515413232663375e-05,-5.310709827757236e-08,2.5,0.0,2.4999248458676737
0.01,0.000113428884089328,-7.975696969407207e-08,2.5,0.0,2.499886571115912
0.012,0.0001580816982536519,-1.106966128447845e-07,2.5,0.0,2.4998419183017484
0.014,0.00020826270480605382,-1.4532164631322569e-07,2.5,0.0,2.499791737295198
0.016,0.000263165170426519,-1.8308275549447135e-07,2.5,0.0,2.49973683482958
0.018000000000000002,0.00032204557385730686,-2.234741525416453e-07,2.5,0.0,2.4996779544261525
0.02,0.0003842305851654549,-2.660379296214694e-07,2.5,0.0,2.4996157694148486
0.022,0.0004491162709922438,-3.10363647267112e-07,2.5,0.0,2.499550883729027
0.024,0.0005142861086767937,-3.547356860486145e-07,2.5,0.0,2.4994857138913487
0.026000000000000002,0.0005786573641787038,-3.9848296378922497e-07,2.5,0.0,2.499421342635853
0.028,0.0006283122323232968,1.2557012459985911e-06,2.5,0.0,2.499371687767992
0.03,0.0006631794329230476,4.191656184833717e-06,2.5,0.0,2.499336820570592
0.032,0.0006906719866445315,7.273084115626082e-06,2.5,0.0,2.499309328023938
0.034,0.0007143131891020151,1.0490741280550709e-05,2.5,0.0,2.4992856868329154
0.036000000000000004,0.0007358448124014907,1.3689623457618264e-05,2.5,0.0,2.4992641552250907
0.038,0.0007561329476184369,1.6833710426394253e-05,2.5,0.0,2.4992438671090738
0.04,0.0007767258112883801,1.8138576416814597e-05,2.5,0.0,2.4992232742545335
0.042,0.0007997687991153488,1.5648871294292716e-05,2.5,0.0,2.499200231249878
0.044,0.0008255636729054043,1.2437313341558165e-05,2.5,0.0,2.499174436358042
0.046,0.0008534494538310484,1.337934909284591e-05,2.5,0.0,2.4991465505819823
0.048,0.0008832612600156292,2.1829729493127215e-05,2.5,0.0,2.4991167388353253
0.05,0.0009150614327749253,4.014781756022856e-05,2.5,0.0,2.4990849388897125
0.052000000000000005,0.000949160328930791,6.856457893000562e-05,2.5,0.0,2.4990508406116465
0.054,0.0009858243942523573,0.00010524340852227773,2.5,0.0,2.4990141778218566
0.056,0.001025208554435564,0.0001488096699704347,2.5,0.0,2.498974795876245
0.058,0.0010674193119834428,0.00019822650797871383,2.5,0.0,2.4989325885501232
0.06,0.001112520189996245,0.00025264870641143934,2.5,0.0,2.498887492581961
0.062,0.0011605243429591114,0.00031138561975962444,2.5,0.0,2.498839495058248
