t,x_ref,y_ref,x_real,y_real,e_pos,yaw_error
0.0,8e-05,0.0,0.0,0.0,8e-05,0.0
0.002,0.00016,0.0,1.4563959923986791e-05,-1.0707918490181764e-08,0.00014543604047020548,7.363367416806667e-05
0.004,0.00024000000000000003,0.0,3.083074497992072e-05,-9.138550667638024e-08,0.00020916927498312415,0.00043498539262743483
0.006,0.00032,0.0,4.840692779520122e-05,-1.8844033477375412e-07,0.0002715931375778866,0.0006904849993562087
0.008,0.0004,0.0,6.65065759081953e-05,-2.944038330631149e-07,0.0003334935540397944,0.0008784655662300588
0.01,0.00048,0.0,8.481123847888257e-05,-4.091411648197863e-07,0.00039518897331414416,0.001030279123046444
0.012,0.0005600000000000001,0.0,0.00010309910417948554,-5.28321644713654e-07,0.0004569012012736988,0.0011507817019621087
0.014,0.00064,0.0,0.00012119613892586073,-6.492515811430591e-07,0.0005188042673234776,0.0012455351175061002
0.016,0.00072,0.0,0.00013897707439062282,-7.700537770108235e-07,0.0005810234359012546,0.0013191567481224001
0.018000000000000002,0.0008,0.0,0.00015635638597438686,-8.893533908828318e-07,0.0006436442284565335,0.0013753369259992012
0.02,0.00088,0.0,0.00017327870628127767,-1.0061308267759387e-06,0.0007067220099124586,0.0014170491237048253
0.022,0.00096,0.0,0.00018971087111654237,-1.1196357134616136e-06,0.0007702899425931556,0.001446722957139365
0.024,0.0010400000000000001,0.0,0.00020563579019559192,-1.2293276328827473e-06,0.0008343651154314659,0.0014663662925880811
0.026000000000000002,0.0011200000000000001,0.0,0.00022104785448114812,-1.3348315019747388e-06,0.0008989531365472207,0.0014776515339199596
0.028,0.0012000000000000001,0.0,0.0002359495371218184,-1.4359026320574842e-06,0.0009640515322284412,0.0014819789084446352
0.03,0.00128,0.0,0.00025034889460219946,-1.5323989252951388e-06,0.001029652245708899,0.0014805247664269187
0.032,0.00136,0.0,0.0002642577387417065,-1.6242586167886483e-06,0.0010957434651064513,0.0014742796365917448
0.034,0.00144,0.0,0.0002776903059039235,-1.711482422605087e-06,0.0011623109541606317,0.0014640788942935634
0.036000000000000004,0.00152,0.0,0.0002906622936229368,-1.7941192204199165e-06,0.0012293390155625077,0.001450627850333357
0.038,0.0016,0.0,0.00030319016814946246,-1.8722545732058486e-06,0.0012968111833730487,0.001434522476524021
0.04,0.00168,0.0,0.0003161887795969792,5.841435039284497e-07,0.001363811345502306,-0.00042613246440459596
0.042,0.00176,0.0,0.0003296616323584912,3.058781078078687e-06,0.001430341638242088,-0.0021056975982070326
0.044,0.00184,0.0,0.0003427764065759941,5.459134089200919e-06,0.001497233545860664,-0.003562444256151262
0.046,0.00192,0.0,0.000355035950733545,7.68031238615689e-06,0.0015649828953361786,-0.004751226360367581
0.048,0.002,0.0,0.00036622674014956803,9.749685547034824e-06,0.0016338023506442183,-0.005715998818613072
0.05,0.0020800000000000003,0.0,0.0003763471339312767,1.1659345521614016e-05,0.0017036927623260507,-0.006473821734426228
0.052000000000000005,0.0021600000000000005,0.0,0.00038552045687879324,1.3373999225157055e-05,0.0017745299413678324,-0.00702467774931415
0.054,0.0022400000000000007,0.0,0.0003939356971808683,1.486117604954252e-05,0.0018461241195262751,-0.007371175091717303
0.056,0.002320000000000001,0.0,0.0004018100995848883,1.6089922218405226e-05,0.0019182573809714727,-0.007517154026672409
0.058,0.002400000000000001,0.0,0.00040936608488973124,1.702997734270624e-05,0.0019907067599512327,-0.007466789802539751
0.06,0.0024800000000000013,0.0,0.000416817476333236,1.7651244006745877e-05,0.0020632580285507066,-0.007224036021908172
0.062,0.0025600000000000015,0.0,0.00042436173780314627,1.7923439853240986e-05,0.0021357134725087487,-0.006792299787121595
0.064,0.0026400000000000017,0.0,0.00043217605872159886,1.781586684965516e-05,0.0022078958219974294,-0.0061742722120261976
0.066,0.002720000000000002,0.0,0.00044041586311711835,1.729725852294857e-05,0.002279649760880055,-0.005371860791784111
0.068,0.002800000000000002,0.0,0.0004492148099413774,1.6335681095673047e-05,0.002350841947957332,-0.004386186584958239
0.07,0.0028800000000000023,0.0,0.00045868567516551883,1.4898473306416784e-05,0.002421360159942245,-0.0032176209478041997
0.07200000000000001,0.0029600000000000026,0.0,0.0004689217202939781,1.2952214927685435e-05,0.0024911119516181244,-0.0018658449065980008
0.074,0.0030400000000000028,0.0,0.000479998293730209,1.0462717140478533e-05,0.0025600230867228947,-0.00032992008561439625
0.076,0.003120000000000003,0.0,0.0004919745052614843,7.395029868195848e-06,0.002628035899195897,0.0013916358734712684
0.078,0.003200000000000003,0.0,0.0005048932623455218,3.6975729218265016e-06,0.002695109274110438,0.0033065545377640947
0.08,0.0032800000000000034,0.0,0.0005187851792331941,-7.579610745681074e-07,0.0027612149247980087,0.005449454051628684
0.082,0.0033600000000000036,0.0,0.0005336923809857308,-6.136847416965357e-06,0.0028263142815678414,0.007865001374585172
0.084,0.003440000000000004,0.0,0.0005496710947654643,-1.2615319231402042e-05,0.0028903564359285517,0.010598166376583366
0.08600000000000001,0.003520000000000004,0.0,0.0005667883982367973,-2.0371692869977577e-05,0.002953281864411048,0.013691489176730682
0.088,0.0036000000000000042,0.0,0.0005851049505439134,-2.9570097598459726e-05,0.003015040057761559,0.017180159049479
0.09,0.0036800000000000044,0.0,0.0006046657666005953,-4.0358954755787365e-05,0.0030755990460961113,0.02109246041727989
0.092,0.0037600000000000047,0.0,0.000625481214579416,-5.28620983490306e-05,0.0031349645002131084,0.025447676574452027
0.094,0.003840000000000005,0.0,0.0006475399306951297,-6.71789216889757e-05,0.0031931668139365006,0.03025689786906259
0.096,0.003920000000000005,0.0,0.0006708152070131787,-8.338327634267636e-05,0.003250254542301339,0.03552330342859086
0.098,0.004000000000000005,0.0,0.0006952710666791654,-0.00010153314261305742,0.0033062882968332903,0.0412457044556034
0.1,0.0040800000000000055,0.0,0.0007208672365309531,-0.00012167942610876868,0.0033613358661921,0.04742145736693794
0.10200000000000001,0.004160000000000006,0.0,0.0007475612956593241,-0.00014386872470169556,0.0034154701171038816,0.05404728866813613
0.10400000000000001,0.004240000000000006,0.0,0.0007753095971454631,-0.00016814481069425788,0.0034687681192313476,0.0611196632726098
0.106,0.004320000000000006,0.0,0.0008040676588523597,-0.00019454952438436985,0.00352131079925731,0.0686349466088039
0.108,0.004400000000000006,0.0,0.0008337900280548645,-0.00022312373302151112,0.0035731831417153003,0.0765895635873952
0.11,0.0044800000000000065,0.0,0.0008644299859544571,-0.0002539078928777031,0.0036244745473697194,0.08498002460169296
0.112,0.004560000000000007,0.0,0.0008959393520064898,-0.0002869423331857832,0.0036752790825662165,0.09380286667167835
0.114,0.004640000000000007,0.0,0.0009282685087843562,-0.0003222673060367806,0.0037256954893579485,0.10305453321247791
0.116,0.004720000000000007,0.0,0.0009613671166549776,-0.00035992224737999636,0.003775826422906863,0.11273106293495556
0.11800000000000001,0.004800000000000007,0.0,0.000995185070829051,-0.00039994528607511923,0.0038257774212695516,0.12282788192723179
0.12,0.004880000000000008,0.0,0.0010296722796401638,-0.0004423699028072301,0.003875656677916803,0.13333884371686447
0.122,0.004960000000000008,0.0,0.0010647249288439757,-0.0004873063002870688,0.003925638204199299,0.14427563593105075
0.124,0.005040000000000008,0.0,0.0011002325321202,-0.0005347780015293092,0.0039758967808387275,0.15562556508559125
0.126,0.005120000000000008,0.0,0.001136101611818129,-0.0005848004571256174,0.004026591355229943,0.16737349945614485
0.128,0.0052000000000000084,0.0,0.001172256192528518,-0.0006373833323341333,0.004077864354164113,0.17950277195643233
0.13,0.005280000000000009,0.0,0.001208641706259113,-0.00069254040008353,0.004129839047924342,0.19199784041986115
0.132,0.005360000000000009,0.0,0.0012452100045245056,-0.0007503304034502233,0.004182641799294683,0.20485370505936673
0.134,0.005440000000000009,0.0,0.0012819138462800644,-0.0008108158244546189,0.004236402101187226,0.21806517345056375
0.136,0.005520000000000009,0.0,0.0013187090451507338,-0.0008740531243334306,0.004291248600518894,0.23162456638418097
0.138,0.0056000000000000095,0.0,0.0013555532717843804,-0.0009400936670220294,0.004347309987962129,0.24552199131533173
0.14,0.00568000000000001,0.0,0.0013924077272723955,-0.0010089854466502621,0.004404713285641368,0.2597458983571093
0.14200000000000002,0.00576000000000001,0.0,0.0014225283699012567,-0.0010813133724065166,0.004470223568375154,0.27406199943432313
0.14400000000000002,0.00584000000000001,0.0,0.0014466731406703216,-0.0011575879663448642,0.004543273136488065,0.2885440455971787
0.146,0.00592000000000001,0.0,0.0014654178325797839,-0.001238165113426625,0.00462345705445666,0.30322588734620687
0.148,0.0060000000000000105,0.0,0.0014791619167179519,-0.0013233017813968487,0.0047105312417923175,0.31811293468368035
0.15,0.006080000000000011,0.0,0.001488190812619775,-0.0014131839682311254,0.004804352249926624,0.33319148826346134
0.152,0.006160000000000011,0.0,0.001492714611091971,-0.0015079475580720373,0.004904840337810181,0.34843560398801193
0.154,0.006240000000000011,0.0,0.0014928930590395143,-0.0016076928848068198,0.005011955778014587,0.36381196423098683
