t,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos
0.026000000000000002,0.00078,0.0,-1.5888527607193167e-10,7.193937445641723e-07,0.33676325125315576,0.000780000158885276,-7.193937445641723e-07,0.0007800004906334454
0.028,0.00084,0.0,-1.73750790531179e-10,7.862061300836706e-07,0.33613541124149504,0.0008400001737507906,-7.862061300836706e-07,0.0008400005416792524
0.03,0.0009,0.0,-1.8868331910868297e-10,8.533264849496551e-07,0.3354683312292347,0.000900000188683319,-8.533264849496551e-07,0.0009000005932198599
0.032,0.00096,0.0,-3.362791664372729e-06,1.0211007126058303e-06,0.3347817879314189,0.0009633627916643728,-1.0211007126058303e-06,0.0009633633328137619
0.034,0.00102,0.0,-1.0528261233608923e-05,1.3253959792405747e-06,0.3341043552846702,0.001030528261233609,-1.3253959792405747e-06,0.0010305291135507366
0.036000000000000004,0.00108,0.0,-2.217659362040928e-05,1.7795621280054764e-06,0.3334468214891326,0.0011021765936204092,-1.7795621280054764e-06,0.0011021780302501298
0.038,0.00114,0.0,-3.871125689744051e-05,2.396416515715493e-06,0.33281593367575885,0.0011787112568974404,-2.396416515715493e-06,0.0011787136929504384
0.04,0.0012,0.0,-6.031115165627749e-05,3.182648348579864e-06,0.3322160644440861,0.0012603111516562775,-3.182648348579864e-06,0.00126031517020136
0.042,0.00126,0.0,-8.699798947704231e-05,4.14064470384636e-06,0.3316498155619027,0.0013469979894770424,-4.14064470384636e-06,0.0013470043535912413
0.044,0.0013199999999999998,0.0,-0.00011868583136189565,5.27372143266633e-06,0.3311184786423429,0.0014386858313618954,-5.27372143266633e-06,0.0014386954971428866
0.046,0.00138,0.0,-0.00015521752579402318,6.583160955252149e-06,0.33062238498889407,0.001535217525794023,-6.583160955252149e-06,0.0015352316403439857
0.048,0.0014399999999999999,0.0,-0.00019639114979743937,8.068748276893706e-06,0.33016117127563005,0.0016363911497974393,-8.068748276893706e-06,0.001636411042444453
0.05,0.0015,0.0,-0.00024197904722133402,9.729282895674215e-06,0.3297339806337076,0.001741979047221334,-9.729282895674215e-06,0.0017420062169532608
0.052000000000000005,0.00156,0.0,-0.000291741369194873,1.1562943589274508e-05,0.3293396144088528,0.001851741369194873,-1.1562943589274508e-05,0.0018517774704462067
0.054,0.00162,0.0,-0.0003454355449043478,1.356754383286117e-05,0.328976646298598,0.0019654355449043475,-1.356754383286117e-05,0.0019654823732150606
0.056,0.00168,0.0,-0.0004028227536473576,1.5740706658640222e-05,0.32864350782400537,0.002082822753647358,-1.5740706658640222e-05,0.0020828822321382638
0.058,0.00174,0.0,-0.000463672199979098,1.8079980799801114e-05,0.3283385519761588,0.002203672199979098,-1.8079980799801114e-05,0.0022037463671362996
0.06,0.0018,0.0,-0.000527763791152797,2.0582914566332203e-05,0.3280601002591591,0.002327763791152797,-2.0582914566332203e-05,0.0023278547900962565
0.062,0.0018599999999999999,0.0,-0.0005948338047552438,2.3279318903357465e-05,0.327806398071699,0.002454833804755244,-2.3279318903357465e-05,0.0024549441817804554
0.064,0.00192,0.0,-0.0006646223910624778,2.6205286886369194e-05,0.3275757187243345,0.002584622391062478,-2.6205286886369194e-05,0.0025847552343388953
0.066,0.00198,0.0,-0.0007368771464674836,2.9357722001627115e-05,0.32736638511365795,0.0027168771464674835,-2.9357722001627115e-05,0.0027170357570040224
0.068,0.00204,0.0,-0.000811370375902413,3.2727795428631545e-05,0.32717680646381725,0.002851370375902413,-3.2727795428631545e-05,0.0028515581931932384
0.07,0.0021000000000000003,0.0,-0.0008878998422216179,3.6307551784811944e-05,0.32700548350245257,0.0029878998422216184,-3.6307551784811944e-05,0.0029881204302143814
0.07200000000000001,0.00216,0.0,-0.0009662855774061806,4.00897358268796e-05,0.3268510056091,0.0031262855774061805,-4.00897358268796e-05,0.003126542611002857
0.074,0.0022199999999999998,0.0,-0.001046368665294111,4.406514353217288e-05,0.3267120498288282,0.003266368665294111,-4.406514353217288e-05,0.0032666658835102413
0.076,0.00228,0.0,-0.0011280160140647857,4.821120400423687e-05,0.32658738714699553,0.0034080160140647856,-4.821120400423687e-05,0.003408357004821174
0.078,0.00234,0.0,-0.001211107065980002,5.2509312214120464e-05,0.32647586155192215,0.0035511070659800022,-5.2509312214120464e-05,0.0035514952656483015
0.08,0.0024,0.0,-0.0012955322894125318,5.694405703144673e-05,0.32637638785860207,0.0036955322894125318,-5.694405703144673e-05,0.0036959709857792215
