t,x_ref,y_ref,x_real,y_real,e_pos
0.0,8e-05,0.0,0.0,0.0,8e-05
0.002,0.00016,0.0,9.749202611941026e-07,-4.908366576329099e-06,0.00015910081096079054
0.004,0.00024000000000000003,0.0,2.4015212214063158e-06,-1.2093790017363347e-05,0.00023790606733516893
0.006,0.00032,0.0,4.008562870506784e-06,-2.0267062628574108e-05,0.00031664071463845744
0.008,0.0004,0.0,5.6837397358573915e-06,-2.8805487602138943e-05,0.00039536700573605793
0.01,0.00048,0.0,7.377892514371788e-06,-3.740973652624088e-05,0.00047410035316493857
0.012,0.0005600000000000001,0.0,9.067677513644721e-06,-4.5937324408065024e-05,0.0005528441568235855
0.014,0.00064,0.0,1.074083089015906e-05,-5.4321798948352664e-05,0.0006315995248175799
0.016,0.00072,0.0,1.2390224508817658e-05,-6.253352775978012e-05,0.0007103675361844492
0.018000000000000002,0.0008,0.0,1.4011376113185542e-05,-7.056067289326841e-05,0.0007891494949872548
0.02,0.00088,0.0,1.5601339011881313e-05,-7.839996178611392e-05,0.0008679467720581238
0.022,0.00096,0.0,1.7158158601161735e-05,-8.605221191739502e-05,0.0009467606461340841
0.024,0.0010400000000000001,0.0,1.8680573447801398e-05,-9.352016200188638e-05,0.0010255922151390243
0.026000000000000002,0.0011200000000000001,0.0,2.0167830364871323e-05,-0.00010080742218165068,0.0011044423650563321
0.028,0.0012000000000000001,0.0,2.1619558573030427e-05,-0.00010791796696432036,0.0011833117730891264
0.03,0.00128,0.0,2.303567838696163e-05,-0.00011485589130599609,0.0012622009275768341
0.032,0.00136,0.0,2.2537171450660846e-05,-0.00012441170685917644,0.001343236796158746
0.034,0.00144,0.0,1.8371766851853425e-05,-0.00013963765987759537,0.0014284696389283227
0.036000000000000004,0.00152,0.0,9.085918595495365e-06,-0.0001603133307510847,0.0015193951840791536
0.038,0.0016,0.0,-5.956200935965889e-06,-0.0001860786056689559,0.0016167005185909922
0.04,0.00168,0.0,-2.6763569343345406e-05,-0.0002165523026243158,0.0017204466807807588
0.042,0.00176,0.0,-5.3011157179203665e-05,-0.00025137270268552785,0.0018303545262357513
0.044,0.00184,0.0,-8.421892274121904e-05,-0.00029021241697442274,0.0019459809119314387
0.046,0.00192,0.0,-0.00011985226744131472,-0.0003327817953277301,0.002066819052623383
0.048,0.002,0.0,-0.00015937694672316669,-0.0003788271297348811,0.0021923546228342335
0.05,0.0020800000000000003,0.0,-0.00020225075782676202,-0.0004281444483498164,0.002322062916945533
0.052000000000000005,0.0021600000000000005,0.0,-0.0002479318037025663,-0.00048055622021855675,0.0024554164314985437
0.054,0.0022400000000000007,0.0,-0.00029592749189722985,-0.0005358804137783717,0.002591929023339848
0.056,0.002320000000000001,0.0,-0.00034581023822140977,-0.0005939543733372671,0.002731176673855531
0.058,0.002400000000000001,0.0,-0.00039721120963364303,-0.000654632202864046,0.002872791999488781
0.06,0.0024800000000000013,0.0,-0.0004498137732018901,-0.0007177822307580111,0.0030164582006776504
0.062,0.0025600000000000015,0.0,-0.0005033395626571906,-0.0007832871911767312,0.0031618962822967944
0.064,0.0026400000000000017,0.0,-0.0005574238572759072,-0.0008510400824963645,0.0033087442550146676
0.066,0.002720000000000002,0.0,-0.0006117403156604634,-0.0009209396222084476,0.0034566780756603204
0.068,0.002800000000000002,0.0,-0.0006660153245521692,-0.000992889649241889,0.0036054253681919663
0.07,0.0028800000000000023,0.0,-0.0007200202522144126,-0.0010667985554334057,0.0037547576452054456
0.07200000000000001,0.0029600000000000026,0.0,-0.0007736213482684091,-0.0011426062279015683,0.0039045457308482232
0.074,0.0030400000000000028,0.0,-0.0008267396413124925,-0.0012202466039232898,0.0040547104986772865
0.076,0.003120000000000003,0.0,-0.0008805988029662803,-0.0012923583215038344,0.004204162320065136
0.078,0.003200000000000003,0.0,-0.0009351267623856311,-0.0013607260548961502,0.004353257256063687
0.08,0.0032800000000000034,0.0,-0.0009902375792967253,-0.001426282650505093,0.004502134069835084
0.082,0.0033600000000000036,0.0,-0.0010458708107433465,-0.0014895508349617663,0.0046508557589862495
